"familr" "sexer" "RELAT" "AGER" "OPGNBL" "MOYRVL" "TAVEPL" "ENDETL" "GAGETL" "GAGECL" "GAGEML" "KVUNB" "QSMOY" "QCREDL" "DMVTPL" "BOPPNL" "FACANL" "LGAGTL" "VIENB" "VIEMTL" "UEMNB" "XLGNB" "XLGMTL" "YLVNB" "YLVMTL" "ROCNB" "NPTAG" "ITAVCL" "HAVEFL" "JNBJDL" "SEXEQ" "FAMIQ" "PCSPQ" "kvunbq" "vienbq" "uemnbq" "xlgnbq" "ylvnbq" "rocnbq" "nptagq" "endetq" "gagetq" "facanq" "lgagtq" "havefq" "ageq" "relatq" "qsmoyq" "opgnbq" "moyrvq" "tavepq" "dmvtpq" "boppnq" "jnbjdq" "itavcq" "CARVP"
"148009" 1 0 238 51 0 4.75359019110636 13.4616032092697 1.6094379124341 11.6887006408941 0 11.6887006408941 2 35938 4.74493212836325 2.484906649788 3.91202300542815 12.2357139686386 0 1 11.9351231330598 4 2 13.1618648203801 2 12.110634957597 14 0 14.0807177006982 13.2302630666307 0.693147180559945 "Shom" "Fcou" "Pcad" "K1" "V1" "U2" "X2" "Y2" "R1" "N0" "E1" "G1" "F1" "L0" "H1" "A2" "R2" "Q2" "O0" "M2" "T2" "D0" "B2" "J1" "I2" "Coui"
"556686" 0 0 89 49 0 5.92692602597041 13.0675924641565 0 12.2503909209311 10.5416504247633 12.0506111069028 1 21187 5.34233425196481 2.484906649788 3.91202300542815 0 0 1 9.97226706793095 5 3 12.8992198260901 2 11.2030250497297 11 1 13.1118563716364 9.97226706793095 2.77258872223978 "Shom" "Fseu" "Pemp" "K0" "V1" "U2" "X2" "Y2" "R1" "N1" "E0" "G1" "F0" "L0" "H1" "A1" "R1" "Q2" "O0" "M2" "T2" "D0" "B2" "J1" "I2" "Coui"
"642680" 1 0 216 64 1.79175946922805 3.2188758248682 11.2703824550764 0 0 0 0 1 7154 3.2188758248682 2.484906649788 4.21950770517611 0 0 0 0 4 1 10.4579759320367 2 9.190545744648 27 0 11.3049044889261 0 1.38629436111989 "Shom" "Fcou" "Pcad" "K0" "V0" "U2" "X1" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A2" "R2" "Q1" "O2" "M2" "T2" "D0" "B2" "J1" "I2" "Coui"
"643508" 0 0 188 38 1.09861228866811 3.29583686600433 0 1.79175946922805 10.2689636524279 10.2689636524279 0 1 7122 3.29583686600433 2.70805020110221 3.61091791264422 10.6607825529198 0 0 0 0 0 0 0 0 13 0 9.59607884990031 0 2.63905732961526 "Shom" "Fseu" "Pemp" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E1" "G1" "F1" "L0" "H0" "A1" "R2" "Q1" "O2" "M2" "T0" "D1" "B1" "J1" "I1" "Coui"
"808224" 1 1 135 46 1.09861228866811 3.71357206670431 11.4809909429399 0 0 0 0 2 6531 3.2188758248682 2.484906649788 3.95124371858143 0 0 0 0 2 1 10.5655567775252 1 10.9696110841675 27 0 11.5648915329948 0 3.58351893845611 "Sfem" "Fcou" "Pcad" "K1" "V0" "U2" "X1" "Y1" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A1" "R1" "Q1" "O2" "M2" "T2" "D0" "B2" "J2" "I2" "Coui"
"941007" 1 0 393 45 0.693147180559945 4.02535169073515 12.4927241871674 0 0 0 0 1 83717 3.66356164612965 2.484906649788 3.68887945411394 9.92822894442457 0 0 0 2 2 12.4927241871674 0 0 15 0 12.6471590479308 7.28138566357028 0 "Shom" "Fcou" "Pouv" "K0" "V0" "U2" "X2" "Y0" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "A1" "R2" "Q2" "O1" "M2" "T2" "D0" "B2" "J0" "I2" "Coui"
"981681" 0 0 63 38 0.693147180559945 3.49650756146648 9.16931002241819 2.484906649788 13.8979132479184 7.69211333959547 12.3677704880283 1 3524 3.49650756146648 2.94443897916644 2.77258872223978 0 13.6513467469786 2 11.4943031408421 3 2 9.10863981714984 1 6.33859407820318 0 0 11.9763827133459 11.9141080829602 3.46573590279973 "Shom" "Fseu" "Pcad" "K0" "V1" "U2" "X2" "Y1" "R0" "N0" "E1" "G1" "F0" "L1" "H1" "A1" "R0" "Q1" "O1" "M2" "T1" "D2" "B1" "J2" "I2" "Coui"
"1231602" 1 0 321 60 1.09861228866811 3.87120101090789 11.9464531108433 0 7.15305163493748 7.15305163493748 0 1 9994 3.80666248977032 2.484906649788 4.39444915467244 0 0 0 0 4 1 9.91576191341152 2 11.2840530349224 11 0 12.0723640943569 9.91348738711446 1.94591014905531 "Shom" "Fcou" "Pcad" "K0" "V0" "U2" "X1" "Y2" "R1" "N0" "E0" "G1" "F0" "L0" "H1" "A2" "R2" "Q2" "O2" "M2" "T2" "D0" "B2" "J1" "I2" "Coui"
"1248922" 0 0 362 34 1.09861228866811 3.49650756146648 10.7981868581668 3.04452243772342 13.1589999854012 9.17988116449147 11.5618013397521 1 9201 3.49650756146648 2.484906649788 4.51085950651685 0 12.9090488624587 0 0 2 2 10.7981868581668 0 0 40 0 10.7981868581668 0 1.6094379124341 "Shom" "Fseu" "Pemp" "K0" "V0" "U2" "X2" "Y0" "R1" "N0" "E1" "G1" "F0" "L1" "H0" "A0" "R2" "Q2" "O2" "M2" "T2" "D0" "B2" "J1" "I1" "Coui"
"1343806" 1 0 209 49 1.09861228866811 4.52178857704904 12.6722627625727 2.19722457733622 13.2306292683689 9.97282703061474 0 1 54858 4.52178857704904 2.484906649788 3.63758615972639 11.7414385743701 13.1913986479924 2 12.5425448821514 3 2 12.5680385675255 1 10.3594239506121 4 0 13.6889649932388 13.1231850397474 0 "Shom" "Fcou" "Pcad" "K0" "V1" "U2" "X2" "Y1" "R1" "N0" "E1" "G1" "F1" "L1" "H1" "A1" "R2" "Q2" "O2" "M2" "T2" "D0" "B2" "J0" "I2" "Coui"
"1544241" 0 1 185 61 1.09861228866811 2.77258872223978 12.3012009906218 0 7.67508185771633 7.67508185771633 0 1 6293 2.70805020110221 2.484906649788 3.36729582998647 0 0 2 10.8302235422718 4 2 11.4573598995205 0 0 12 0 13.289743870329 12.8206581045484 1.6094379124341 "Sfem" "Fseu" "Psan" "K0" "V1" "U2" "X2" "Y0" "R1" "N0" "E0" "G1" "F0" "L0" "H1" "A2" "R2" "Q1" "O2" "M1" "T2" "D0" "B1" "J1" "I2" "Coui"
"1740892" 0 1 268 41 2.07944154167984 4.00733318523247 9.8870532460727 0 0 0 0 2 19467 3.97029191355212 2.484906649788 3.13549421592915 11.79279711533 0 13 14.8963111561057 3 1 8.57565076098781 2 9.57317629802839 0 0 15.0768628183652 15.0697187673101 1.6094379124341 "Sfem" "Fseu" "Psan" "K1" "V1" "U2" "X1" "Y2" "R0" "N0" "E0" "G0" "F1" "L0" "H1" "A1" "R2" "Q2" "O2" "M2" "T1" "D0" "B1" "J1" "I2" "Coui"
"2647067" 0 0 85 43 0.693147180559945 3.13549421592915 10.2916030223092 2.56494935746154 11.3362956792714 0 11.3362956792714 1 4340 3.13549421592915 2.484906649788 3.73766961828337 11.3385839825165 0 0 0 1 0 0 1 10.2916030223092 12 0 10.6582706081295 0 0 "Shom" "Fseu" "Pint" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E1" "G1" "F1" "L0" "H0" "A1" "R1" "Q1" "O1" "M2" "T1" "D0" "B2" "J0" "I1" "Coui"
"2849823" 0 0 75 26 0 3.73766961828337 10.2461193514727 2.19722457733622 12.42763895365 0 0 2 13329 3.73766961828337 2.484906649788 3.89182029811063 0 12.42763895365 0 0 2 2 10.2461193514727 0 0 38 0 10.9262801484821 0 0 "Shom" "Fseu" "Psan" "K1" "V0" "U2" "X2" "Y0" "R1" "N0" "E1" "G1" "F0" "L1" "H0" "A0" "R0" "Q2" "O0" "M2" "T1" "D0" "B2" "J0" "I1" "Coui"
"3258308" 1 0 38 52 1.38629436111989 3.98898404656427 10.8764232331162 1.94591014905531 12.5126378049835 0 12.5126378049835 2 6333 3.98898404656427 2.484906649788 4.29045944114839 0 0 0 0 3 1 7.70391020961631 2 10.8336417410694 29 0 12.0188390443752 8.65765054411149 4.46590811865458 "Shom" "Fcou" "Pcad" "K1" "V0" "U2" "X1" "Y2" "R1" "N0" "E1" "G1" "F0" "L0" "H1" "A2" "R0" "Q1" "O2" "M2" "T2" "D0" "B2" "J2" "I2" "Coui"
"3346139" 0 0 147 32 0 2.70805020110221 11.7891471169572 0 0 0 0 1 20105 2.70805020110221 2.484906649788 3.04452243772342 10.8754778568807 0 0 0 3 2 11.6956136212251 1 9.37339415841248 4 0 12.5071027355015 11.7505950014605 0 "Shom" "Fseu" "Pcad" "K0" "V0" "U2" "X2" "Y1" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "A0" "R1" "Q2" "O0" "M1" "T2" "D0" "B1" "J0" "I2" "Coui"
"5044500" 0 0 10 28 0 0 4.61512051684126 0 5.84643877505772 5.84643877505772 0 1 -91 0 2.484906649788 1.09861228866811 10.1064692120264 0 0 0 1 0 0 1 4.61512051684126 0 0 4.61512051684126 0 1.38629436111989 "Shom" "Fseu" "Pcad" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G1" "F1" "L0" "H0" "A0" "R0" "Q0" "O0" "M0" "T0" "D0" "B0" "J1" "I0" "Coui"
"5068163" 0 1 1 41 1.38629436111989 4.39444915467244 10.5891316552749 0 0 0 0 1 10009 4.39444915467244 2.484906649788 2.30258509299405 8.34307787116938 0 0 0 1 0 0 1 10.5891316552749 0 0 11.0037484814498 0 0 "Sfem" "Fseu" "Pcad" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G0" "F1" "L0" "H0" "A1" "R0" "Q2" "O2" "M2" "T2" "D0" "B0" "J0" "I1" "Coui"
"5069492" 0 0 1 53 0.693147180559945 2.19722457733622 0 0 0 0 0 1 3412 2.19722457733622 2.77258872223978 1.09861228866811 0 0 0 0 0 0 0 0 0 0 0 10.0942318714037 0 0 "Shom" "Fseu" "Pcad" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "A2" "R0" "Q1" "O1" "M1" "T0" "D2" "B0" "J0" "I1" "Coui"
