"familr" "sexer" "RELAT" "AGER" "OPGNBL" "MOYRVL" "TAVEPL" "ENDETL" "GAGETL" "GAGECL" "GAGEML" "KVUNB" "QSMOY" "QCREDL" "DMVTPL" "BOPPNL" "FACANL" "LGAGTL" "VIENB" "VIEMTL" "UEMNB" "XLGNB" "XLGMTL" "YLVNB" "YLVMTL" "ROCNB" "NPTAG" "ITAVCL" "HAVEFL" "JNBJDL" "SEXEQ" "FAMIQ" "PCSPQ" "kvunbq" "vienbq" "uemnbq" "xlgnbq" "ylvnbq" "rocnbq" "nptagq" "endetq" "gagetq" "facanq" "lgagtq" "havefq" "ageq" "relatq" "qsmoyq" "opgnbq" "moyrvq" "tavepq" "dmvtpq" "boppnq" "jnbjdq" "itavcq" "CARVP"
"2448738" 0 0 103 30 0.693147180559945 2.30258509299405 9.39623885726048 0 0 0 0 1 19635 2.30258509299405 2.63905732961526 3.93182563272433 0 0 0 0 1 0 0 1 9.39623885726048 20 1 10.2943465082549 0 0 "Shom" "Fseu" "Pemp" "K0" "V0" "U1" "X0" "Y1" "R1" "N1" "E0" "G0" "F0" "L0" "H0" "A0" "R1" "Q2" "O1" "M1" "T1" "D0" "B2" "J0" "I1" "Cnon"
"5078110" 1 0 5 31 0 0 0 0 11.0176614619883 7.49164547360513 10.9878149630929 1 -24136 0 3.63758615972639 0.693147180559945 0 0 0 0 1 1 0 0 0 0 0 0 0 4.18965474202643 "Shom" "Fcou" "Pint" "K0" "V0" "U1" "X1" "Y0" "R0" "N0" "E0" "G1" "F0" "L0" "H0" "A0" "R0" "Q0" "O0" "M0" "T0" "D2" "B0" "J2" "I0" "Coui"
"257832" 0 0 64 32 0 2.07944154167984 11.0039814032889 0 0 0 0 1 4541 2.07944154167984 2.63905732961526 2.63905732961526 0 0 1 9.98957350144926 2 1 10.4663267112542 1 10.1266711030504 0 0 11.3290386838515 9.99665908342392 0 "Shom" "Fseu" "Pemp" "K0" "V1" "U2" "X1" "Y1" "R0" "N0" "E0" "G0" "F0" "L0" "H1" "A0" "R0" "Q1" "O0" "M1" "T2" "D0" "B1" "J0" "I2" "Cnon"
"1980113" 1 0 88 53 0 4.49980967033027 0 1.09861228866811 11.3263066883384 0 11.3263066883384 1 44851 4.49980967033027 2.39789527279837 3.43398720448515 0 0 0 0 0 0 0 0 0 6 0 10.930854434664 0 2.19722457733622 "Shom" "Fcou" "Pemp" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E1" "G1" "F0" "L0" "H0" "A2" "R1" "Q2" "O0" "M2" "T0" "D0" "B1" "J1" "I1" "Coui"
"5088086" 0 1 7 26 0 2.07944154167984 0 0 0 0 0 1 1210 2.07944154167984 2.63905732961526 3.61091791264422 0 0 0 0 0 0 0 0 0 23 0 7.39939808333135 0 3.61091791264422 "Sfem" "Fseu" "Pemp" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A0" "R0" "Q0" "O0" "M1" "T0" "D0" "B1" "J2" "I0" "Cnon"
"1252395" 1 0 187 56 2.39789527279837 4.20469261939097 12.3138008559852 0 0 0 0 2 11744 4.20469261939097 2.484906649788 4.52178857704904 0 0 1 11.4879358082666 4 2 11.5773827328068 2 11.6621382591964 3 0 12.916556179337 11.4879358082666 0 "Shom" "Fcou" "Pint" "K1" "V1" "U2" "X2" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H1" "A2" "R2" "Q2" "O2" "M2" "T2" "D0" "B2" "J0" "I2" "Coui"
"1332460" 1 0 94 40 0 1.94591014905531 10.9597141247078 0 0 0 0 1 5268 1.94591014905531 2.63905732961526 3.17805383034795 0 0 1 9.65412835440351 1 1 10.9597141247078 0 0 4 0 11.2500010436442 9.65412835440351 0 "Shom" "Fcou" "Pemp" "K0" "V1" "U1" "X1" "Y0" "R1" "N0" "E0" "G0" "F0" "L0" "H1" "A1" "R1" "Q1" "O0" "M0" "T2" "D0" "B1" "J0" "I2" "Cnon"
"2740443" 1 0 292 60 0.693147180559945 3.58351893845611 11.3057413811513 0 0 0 0 1 7536 3.13549421592915 2.63905732961526 3.52636052461616 10.595208716818 0 3 12.5843412589499 3 1 9.21711735625521 1 10.5966597327836 0 0 12.9197648248192 12.6893533677945 0 "Shom" "Fcou" "Psan" "K0" "V1" "U2" "X1" "Y1" "R0" "N0" "E0" "G0" "F1" "L0" "H1" "A2" "R2" "Q1" "O1" "M2" "T2" "D0" "B1" "J0" "I2" "Cnon"
"5018414" 1 0 34 50 0.693147180559945 3.29583686600433 8.18896686364888 2.77258872223978 12.8823991483598 0 0 1 4619 3.29583686600433 2.63905732961526 4.61512051684126 0 12.8823991483598 0 0 1 0 0 1 8.18896686364888 21 0 8.96533457380484 0 1.79175946922805 "Shom" "Fcou" "Pcad" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E1" "G1" "F0" "L1" "H0" "A2" "R0" "Q1" "O1" "M2" "T1" "D0" "B2" "J1" "I0" "Cnon"
"5057209" 1 0 6 53 0 0 0 0 0 0 0 1 -545 0 2.56494935746154 1.09861228866811 11.6699377607519 0 0 0 0 0 0 0 0 0 0 10.0358745405795 0 3.13549421592915 "Shom" "Fcou" "Pcad" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G0" "F1" "L0" "H0" "A2" "R0" "Q0" "O0" "M0" "T0" "D0" "B0" "J2" "I1" "Coui"
"1847382" 1 0 48 56 0 1.6094379124341 4.9416424226093 3.87120101090789 8.21365270303 0 8.21365270303 1 2127 1.6094379124341 2.77258872223978 2.56494935746154 0 0 0 0 1 0 0 1 4.9416424226093 0 1 6.63068338564237 0 1.38629436111989 "Shom" "Fcou" "Psan" "K0" "V0" "U1" "X0" "Y1" "R0" "N1" "E1" "G1" "F0" "L0" "H0" "A2" "R0" "Q1" "O0" "M0" "T1" "D2" "B0" "J1" "I0" "Cnon"
"5019606" 1 1 34 45 0 0 10.9441175586659 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 10.9441175586659 0 0 0 0 10.9441175586659 0 0 "Sfem" "Fcou" "Pcad" "K0" "V0" "U2" "X2" "Y0" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "A1" "R0" "Q0" "O0" "M0" "T2" "D0" "B0" "J0" "I1" "Cnon"
"5028399" 1 0 30 42 1.09861228866811 2.484906649788 0 1.94591014905531 8.32772616646141 8.32772616646141 0 1 -2308 2.484906649788 2.63905732961526 3.8286413964891 10.6483017076565 0 0 0 0 0 0 0 0 0 1 0 0 4.34380542185368 "Shom" "Fcou" "Pemp" "K0" "V0" "U0" "X0" "Y0" "R0" "N1" "E1" "G1" "F1" "L0" "H0" "A1" "R0" "Q0" "O2" "M1" "T0" "D0" "B2" "J2" "I0" "Cnon"
"1253572" 1 1 157 62 0 0 6.5366915975913 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 6.5366915975913 0 0 6.5366915975913 0 0 "Sfem" "Fcou" "Psan" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "A2" "R1" "Q0" "O0" "M0" "T1" "D0" "B0" "J0" "I0" "Cnon"
"1353988" 1 0 101 37 1.09861228866811 3.3322045101752 4.85203026391962 0 0 0 0 1 11499 3.3322045101752 2.63905732961526 3.61091791264422 0 0 0 0 1 0 0 1 4.85203026391962 17 0 9.4906201146612 0 0 "Shom" "Fcou" "Pcad" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A1" "R1" "Q2" "O2" "M2" "T1" "D0" "B1" "J0" "I1" "Cnon"
"177184" 0 0 64 34 0.693147180559945 2.484906649788 9.10697785898103 0 0 0 0 1 2830 2.19722457733622 2.63905732961526 3.3322045101752 0 0 0 0 1 0 0 1 9.10697785898103 10 0 9.78374635092358 0 0 "Shom" "Fseu" "Pemp" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A0" "R0" "Q1" "O1" "M1" "T1" "D0" "B1" "J0" "I1" "Cnon"
"160982" 1 0 297 45 0.693147180559945 3.55534806148941 7.79482315217939 2.77258872223978 13.2564990873923 0 10.4081039388244 1 11333 3.55534806148941 2.70805020110221 4.0943445622221 0 13.1968175753293 0 0 1 1 7.79482315217939 0 0 28 0 10.1124510402765 0 0 "Shom" "Fcou" "Pcad" "K0" "V0" "U1" "X1" "Y0" "R1" "N0" "E1" "G1" "F0" "L1" "H0" "A1" "R2" "Q2" "O1" "M2" "T1" "D1" "B2" "J0" "I1" "Cnon"
"1347052" 0 1 147 23 0.693147180559945 2.89037175789616 11.9782180144858 0 0 0 0 1 17641 2.89037175789616 2.63905732961526 3.52636052461616 0 0 0 0 2 2 11.9782180144858 0 0 17 0 12.0981588730846 0 0 "Sfem" "Fseu" "Psan" "K0" "V0" "U2" "X2" "Y0" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A0" "R1" "Q2" "O1" "M1" "T2" "D0" "B1" "J0" "I2" "Cnon"
"4210674" 1 0 110 55 0 3.3322045101752 12.0645954830056 0 0 0 0 1 28263 3.3322045101752 2.63905732961526 1.94591014905531 8.59433940059289 0 0 0 2 0 0 2 12.0645954830056 0 0 12.2569225916534 0 0 "Shom" "Fcou" "Pint" "K0" "V0" "U2" "X0" "Y2" "R0" "N0" "E0" "G0" "F1" "L0" "H0" "A2" "R1" "Q2" "O0" "M2" "T2" "D0" "B0" "J0" "I2" "Cnon"
"1954176" 0 1 47 35 0.693147180559945 0.693147180559945 0 0 0 0 0 1 1644 0.693147180559945 2.63905732961526 1.09861228866811 0 0 0 0 0 0 0 0 0 0 0 7.20042489294496 0 0 "Sfem" "Fseu" "Pouv" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "A0" "R0" "Q1" "O1" "M0" "T0" "D0" "B0" "J0" "I0" "Cnon"
"5079094" 1 0 1 48 1.09861228866811 3.09104245335832 4.61512051684126 0 0 0 0 1 1404 3.09104245335832 3.25809653802148 1.38629436111989 0 0 0 0 1 0 0 1 4.61512051684126 0 0 7.9755646584952 0 0 "Shom" "Fcou" "Pcad" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "A1" "R0" "Q0" "O2" "M2" "T0" "D2" "B0" "J0" "I0" "Coui"
"1160308" 1 0 241 60 0.693147180559945 3.04452243772342 0 0 0 0 0 1 241827 3.04452243772342 2.63905732961526 3.17805383034795 10.363030408175 0 0 0 0 0 0 0 0 7 0 12.3485613018224 4.61512051684126 0 "Shom" "Fcou" "Pouv" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "A2" "R2" "Q2" "O1" "M1" "T0" "D0" "B1" "J0" "I2" "Cnon"
"1948586" 0 1 136 27 0 0 5.14166355650266 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 5.14166355650266 0 0 5.14166355650266 0 0 "Sfem" "Fseu" "Psan" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "A0" "R1" "Q0" "O0" "M0" "T1" "D0" "B0" "J0" "I0" "Cnon"
"1054347" 1 1 172 56 0.693147180559945 1.6094379124341 0 4.0943445622221 11.7001516410976 0 0 1 7040 1.6094379124341 2.63905732961526 1.09861228866811 0 11.7001516410976 0 0 0 0 0 0 0 0 0 9.32277580130597 5.30330490805908 0 "Sfem" "Fcou" "Pcad" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E1" "G1" "F0" "L1" "H1" "A2" "R1" "Q1" "O1" "M0" "T0" "D0" "B0" "J0" "I1" "Cnon"
"749896" 0 0 76 51 0 3.43398720448515 0 0 0 0 0 2 13694 3.43398720448515 2.70805020110221 2.56494935746154 0 0 0 0 0 0 0 0 0 9 0 10.9099297262321 0 0 "Shom" "Fseu" "Pint" "K1" "V0" "U0" "X0" "Y0" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A2" "R1" "Q2" "O0" "M2" "T0" "D1" "B0" "J0" "I1" "Coui"
"1471063" 0 1 133 31 0 2.56494935746154 11.3396072561292 0 0 0 0 1 14446 2.56494935746154 2.70805020110221 2.83321334405622 0 0 0 0 1 0 0 1 11.3396072561292 8 0 11.443993305926 0 0 "Sfem" "Fseu" "Psan" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A0" "R1" "Q2" "O0" "M1" "T2" "D1" "B1" "J0" "I2" "Cnon"
"1231284" 1 0 363 62 1.09861228866811 3.80666248977032 12.3186242432685 0 0 0 0 1 10837 3.80666248977032 2.56494935746154 3.89182029811063 11.0588109327883 0 0 0 3 2 12.1653131490569 1 10.3676931556669 11 0 12.4640117487827 5.70711026474888 0.693147180559945 "Shom" "Fcou" "Pcad" "K0" "V0" "U2" "X2" "Y1" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "A2" "R2" "Q2" "O2" "M2" "T2" "D0" "B2" "J1" "I2" "Coui"
"585321" 0 1 146 31 2.07944154167984 3.91202300542815 0 0 0 0 0 1 58275 3.91202300542815 2.63905732961526 3.09104245335832 0 0 0 0 0 0 0 0 0 0 0 12.0064930212999 0 0 "Sfem" "Fseu" "Psan" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "A0" "R1" "Q2" "O2" "M2" "T0" "D0" "B1" "J0" "I2" "Cnon"
